Sun X	Sun Y
-7.086879258835416E8	3.907699879104238E8
-7.439292641433607E8	3.579851868033188E8
-7.775293096881803E8	3.2298733562396383E8
-8.095308798627073E8	2.8564094637748915E8
-8.395190699189955E8	2.4584902554203677E8
-8.670835584220372E8	2.0382947638506553E8
-8.919505597287904E8	1.6011677268184444E8
-9.1443172487497E8	1.1514998280826421E8
-9.348115304545563E8	6.88570417802728E7
-9.531186399093983E8	2.0908972017662223E7
-9.688082281684813E8	-2.890175446769276E7
-9.813994726376741E8	-8.020729203937909E7
-9.906856033710116E8	-1.3249743377280308E8
-9.968919341190585E8	-1.853074210812712E8
-1.0001794382157768E9	-2.3866178692475706E8
-1.0004465327602193E9	-2.925004554678496E8
-9.974803271309099E8	-3.4667530649316674E8
-9.912389852353499E8	-4.0070419086632913E8
-9.820054019423702E8	-4.543813975409963E8
-9.699522704485694E8	-5.0771323290319157E8
-9.549732109241761E8	-5.609189212775486E8
-9.365853252352135E8	-6.137793757719239E8
-9.146237408154216E8	-6.657244920823736E8
-8.892843037336849E8	-7.160667196925712E8
-8.612235755710593E8	-7.645583802797763E8
-8.307517471312566E8	-8.113993420300295E8
-7.978752242706809E8	-8.567881287343142E8
-7.622876866452578E8	-9.006073510561242E8
-7.240454579918745E8	-9.424078589951137E8
-6.833992872567024E8	-9.819305495491921E8
-6.40696186908922E8	-1.01912655165869E9
-5.959050837556562E8	-1.0541162673367785E9
-5.48948872359379E8	-1.0866037223712378E9
-4.999692050163133E8	-1.1162058587581751E9
-4.495043388628968E8	-1.142551775581314E9
-3.9813747296933454E8	-1.1658809583422973E9
-3.460141381802818E8	-1.1865485906227715E9
-2.9291559643937945E8	-1.2048112646797547E9
-2.3856074724699885E8	-1.2203302919838328E9
-1.83167148727278E8	-1.2326719532845957E9
-1.2721175387563732E8	-1.2415516059057982E9
-7.125180609899393E7	-1.2471767499142532E9
-1.5368991218205601E7	-1.2498105479482439E9
4.039377794451166E7	-1.2495217114202607E9
9.598830573683386E7	-1.2461641565364988E9
1.509711452661698E8	-1.239683773350833E9
2.050757474755836E8	-1.2303858452895324E9
2.582652883642602E8	-1.2185988871508987E9
3.108581621921338E8	-1.2044033354159052E9
3.6285679932994455E8	-1.187399461688531E9
4.1388078693142873E8	-1.1673150146411903E9
4.6324794465149134E8	-1.1442007693159904E9
5.10620694786137E8	-1.118680416922867E9
5.561333154861097E8	-1.0911689322039645E9
6.000755995983893E8	-1.061817302429731E9
6.425019819679482E8	-1.0303383833729197E9
6.830789499726636E8	-9.96704845467026E8
7.215533747776903E8	-9.610854915305176E8
7.57864844810216E8	-9.238386749332616E8
7.921974698252763E8	-8.849789090057011E8
