Neptune X	Neptune Y
3.3396561453812856E12	2.9522489173359277E12
3.326545082488744E12	2.9670007985551216E12
3.313369397984623E12	2.9816950407665186E12
3.3001293521087134E12	2.996331429117702E12
3.286825360166748E12	3.010909675673937E12
3.273457390344533E12	3.0254293821621646E12
3.2600259488996704E12	3.0398903449562104E12
3.246531194471405E12	3.054292319301527E12
3.232973402994881E12	3.068635033743714E12
3.2193529056372217E12	3.082918110058472E12
3.2056698100865845E12	3.0971413759553457E12
3.191924495205584E12	3.1113044667654355E12
3.178117214221734E12	3.125407096647742E12
3.1642481973463174E12	3.139449137822219E12
3.150317768561616E12	3.1534301707332085E12
3.1363261151018984E12	3.1673499066461943E12
3.122273607191895E12	3.181208209134925E12
3.10816053628392E12	3.195004785327571E12
3.0939870031213403E12	3.2087392287918994E12
3.079753441666394E12	3.2224114504243794E12
3.065460140231926E12	3.236021051765851E12
3.0511072374667173E12	3.2495678014878667E12
3.036695121646874E12	3.263051477637692E12
3.02222401933827E12	3.276471793868605E12
3.0077046612821763E12	3.2898685101241333E12
2.9931296154880586E12	3.303211839406275E12
2.978496454272335E12	3.3164910298247124E12
2.9638054632406924E12	3.3297058257950264E12
2.94905692913246E12	3.342855973110712E12
2.93425113983389E12	3.3559412189761E12
2.919388384388042E12	3.368961312018994E12
2.904468953001333E12	3.3819160022964146E12
2.8894931370490557E12	3.3948050412996816E12
2.874461229082252E12	3.4076281819569272E12
2.859373522831625E12	3.4203851786307285E12
2.844230313208806E12	3.433075787114205E12
2.8290318963055156E12	3.4456997646249966E12
2.81377856939011E12	3.4582568697988325E12
2.7984706309039937E12	3.4707468626823467E12
2.783108380454131E12	3.4831695047223066E12
2.7676921188017114E12	3.495524558755923E12
2.752222147850737E12	3.5078117890028804E12
2.736698770634818E12	3.52003096105692E12
2.7211222913028115E12	3.532181841878563E12
2.7054930151030225E12	3.544264199787416E12
2.68981124836495E12	3.5562778044568276E12
2.674077298483272E12	3.568222426912097E12
2.658291473901933E12	3.580097839527539E12
2.64245408409638E12	3.5919038160246357E12
2.626565439556828E12	3.603640131472766E12
2.610625851771701E12	3.6153065622909766E12
2.594635633212849E12	3.6269028862526353E12
2.5785950973224355E12	3.6384288824889717E12
2.562504558497677E12	3.649884331492464E12
2.5463643320774897E12	3.6612690151243765E12
2.530174734331779E12	3.6725827166218784E12
2.5139360824501846E12	3.6838252206048804E12
2.497648694532134E12	3.6949963130834526E12
2.481312889576251E12	3.706095781464571E12
2.4649289874707095E12	3.717123414561797E12
2.448497308986761E12	3.7280790026048237E12
2.432018175770835E12	3.7389623372461465E12
2.41549191033632E12	3.7497732115697466E12
2.3989188360570957E12	3.7605114201001074E12
2.3822992771610806E12	3.771176758811047E12
2.3656335587253003E12	3.7817690251346445E12
2.3489220066698877E12	3.7922880179676636E12
2.3321649477509414E12	3.8027335376796206E12
2.315362709556079E12	3.8131053861225654E12
2.2985156205000337E12	3.82340336663828E12
2.281624009819381E12	3.833627284065361E12
2.264688207567407E12	3.843776944746109E12
2.2477085446083438E12	3.8538521565337466E12
2.230685352613573E12	3.863852728801025E12
2.2136189640578423E12	3.8737784724457437E12
2.1965097122130437E12	3.8836291998958647E12
2.1793579311432595E12	3.893404725116785E12
2.1621639557001926E12	3.9031048636175986E12
2.1449281215188281E12	3.912729432457458E12
2.1276507650132559E12	3.9222782502502495E12
2.110332223370303E12	3.931751137168577E12
2.092972834544431E12	3.941147914950726E12
2.0755729372541833E12	3.9504684069056797E12
2.0581328709766414E12	3.9597124379163564E12
2.0406529759419602E12	3.9688798344440596E12
2.0231335931276545E12	3.9779704245321235E12
2.005575064253042E12	3.9869840378110854E12
1.9879777317755627E12	3.9959205055027773E12
1.9703419388845918E12	4.004779660421362E12
1.952668029494687E12	4.0135613369770986E12
1.9349563482407744E12	4.0222653711801807E12
1.9172072404725208E12	4.0308916006428403E12
1.8994210522488064E12	4.039439864581669E12
1.881598130331345E12	4.047910003818187E12
1.863738822177246E12	4.056301860781058E12
1.8458434759341013E12	4.0646152795095386E12
1.8279124404344033E12	4.0728501056531226E12
